#{"t_start": 1761514378.3104384, "env_id": "MiniWorld-Maze-v0"}
r,l,t
34.049722,300,2079.471164
46.225023,300,2082.591595
36.300539,300,2085.760993
44.687738,300,2088.847917
44.851364,300,2091.964674
39.365266,300,2094.888715
42.229846,300,2097.902713
43.28309,300,2101.012632
46.107315,300,2104.050987
38.895113,300,2107.120383
50.334865,300,2110.189216
45.969186,300,2113.205633
38.161117,300,2116.246891
35.891182,300,2119.249167
47.563475,300,2122.196692
12.668223,83,2123.116693
36.606084,300,2126.174931
42.508633,300,2129.184416
40.001104,300,2132.172416
37.296377,300,2135.162644
32.42676,300,2138.114261
44.202243,300,2141.063922
74.76896,300,2144.056198
34.151473,300,2147.010366
38.21577,300,2149.948398
4.839111,27,2150.393995
39.882343,300,2153.351835
37.848972,300,2156.331519
12.192668,8,2156.586518
49.348082,300,2159.53409
29.327873,300,2162.5027
16.386958,153,2164.102195
54.844157,300,2167.094611
39.510972,300,2170.043448
48.007473,300,2173.028971
34.51568,300,2176.023094
4.101622,15,2176.343418
49.237751,300,2179.383119
45.906641,300,2182.351869
37.048063,300,2185.327387
49.935895,300,2188.371904
42.425075,300,2191.345905
40.223177,300,2194.302421
12.633294,10,2194.58742
27.143111,300,2197.512126
30.027917,300,2200.48965
49.457149,300,2203.43379
30.599022,300,2206.471721
47.894105,300,2209.442791
36.503813,300,2212.392905
33.390722,300,2215.337779
37.847849,300,2218.304294
32.251037,300,2221.248244
56.286115,300,2224.251036
35.710343,300,2227.231665
31.130891,226,2229.52702
40.052479,300,2232.485602
37.849661,300,2235.446654
26.077855,300,2238.472807
47.81187,300,2241.445345
34.963056,300,2244.444706
100.805011,300,2247.498616
165.307955,300,2250.565637
12.167205,300,2253.669222
44.771287,300,2256.745322
35.550042,300,2259.82144
40.412532,300,2262.895468
40.967409,300,2266.114122
38.637167,300,2269.216945
39.671172,300,2272.336413
36.298594,300,2275.337728
46.118984,300,2278.473119
41.541299,300,2281.546011
41.220589,300,2284.669535
82.616585,282,2287.588935
37.113956,300,2290.626754
28.761619,203,2292.722067
29.649522,187,2294.682833
41.815042,300,2297.774629
48.942495,300,2300.772396
41.239481,300,2303.726316
48.105521,300,2306.780621
43.625942,300,2309.770864
43.524651,300,2312.73641
35.494123,300,2315.75955
48.373095,300,2318.763151
38.97758,300,2321.747707
38.912312,300,2324.718773
38.77922,300,2327.675773
38.260804,300,2330.653866
37.887256,300,2333.622867
38.945444,300,2336.588563
41.416779,300,2339.570998
3.842924,12,2339.852
1.069366,300,2034.275469
